Index,Problem Number,Leetcode Acceptance Rate,Tries until correct,ChatGPT Acceptance Rate,Wrong on improvement,Tries until wrong
1,1652,62.5,1,100,TRUE,1
2,111,44.8,1,100,TRUE,3
3,1491,63.6,,0,,
4,876,76.0,1,100,FALSE,
5,1979,77.0,1,100,TRUE,1
6,409,54.1,1,100,TRUE,3
7,976,54.7,1,100,TRUE,2
8,933,73.3,1,100,FALSE,
9,389,59.6,1,100,TRUE,2
10,387,59.8,1,100,FALSE,
11,144,67.3,1,100,FALSE,
12,704,56.3,1,100,FALSE,
13,1176,52.8,1,100,FALSE,
14,1876,71.4,1,100,TRUE,1
15,157,41.0,1,100,FALSE,
16,2085,69.8,3,33.3333333333333,TRUE,1
17,67,52.5,1,100,FALSE,
18,1394,64.8,1,100,TRUE,4
19,2423,17.7,,0,,
20,2413,87.5,1,100,TRUE,2
21,79,40.4,1,100,FALSE,
22,962,48.9,1,100,TRUE,5
23,820,60.6,2,50,TRUE,1
24,1034,49.3,,0,,
25,1625,65.8,3,33.3333333333333,TRUE,1
26,95,52.8,1,100,FALSE,
27,955,34.8,,0,,
28,1395,66.8,2,50,TRUE,3
29,837,45.5,1,100,TRUE,2
30,1762,79.0,1,100,TRUE,2
31,1227,65.7,3,33.3333333333333,TRUE,1
32,419,74.9,1,100,TRUE,2
33,1352,50.0,1,100,TRUE,1
34,1653,58.9,1,100,FALSE,
35,2507,48.4,,0,,
36,1296,56.4,1,100,TRUE,3
37,1765,60.6,1,100,FALSE,
38,764,48.2,1,100,TRUE,1
39,368,41.7,1,100,FALSE,
40,1514,49.0,1,100,TRUE,2
41,913,34.7,,0,,
42,174,37.5,1,100,FALSE,
43,956,39.7,1,100,TRUE,2
44,302,58.6,,0,,
45,123,45.9,1,100,FALSE,
46,2328,47.9,2,50,TRUE,2
47,2444,61.8,,0,,
48,1591,58.8,,0,,
49,1835,60.6,1,100,TRUE,1
50,502,49.8,1,100,TRUE,1
51,1157,41.8,1,100,TRUE,1
52,1163,34.8,2,50,TRUE,1
53,1568,46.2,1,100,TRUE,4
54,2163,47.6,,0,,
55,1830,48.8,,0,,
56,25,55.3,1,100,TRUE,1
57,1956,48.3,,0,,
58,975,39.0,1,100,TRUE,1
59,761,60.4,1,100,FALSE,
60,2263,65.7,,0,,
