,Wrong Answer,Runtime,Time Limit Exceeded
1,1,,
2,,1,
3,6,,
4,,,
5,,1,
6,1,,
7,1,,
8,,,
9,,1,
10,,,
11,,,
12,,,
13,,,
14,1,,
15,,,
16,3,,
17,,,
18,1,,
19,6,,
20,,1,
21,,,
22,,1,
23,2,,
24,6,,
25,,,3
26,,,
27,6,,
28,1,,1
29,1,,
30,1,,
31,3,,
32,1,,
33,1,,
34,,,
35,3,,3
36,,1,
37,,,
38,1,,
39,,,
40,,1,
41,5,1,
42,,,
43,,1,
44,2,4,
45,,,
46,2,,
47,6,,
48,6,,
49,,,1
50,1,,
51,,,1
52,,,2
53,1,,
54,6,,
55,6,,
56,1,,
57,4,1,1
58,1,,
59,,,
60,6,,
