Problem,Part,Function Name,N represents,Time - O(),,,Space - O(),,,Notes,Cyclomatic Complexity,Token Count,Parameter Count,Nloc,Runtime I (user percentile),Runtime II,Runtime III,Memory I (user percentile),Memory II,Memory III,Average Runtime,Stdev Runtime,Average Memory,Stdev Memory,Time - Number matched,,,Space - Number matched,,
,,,,Best,Average,Worst,Best,Average,Worst,,,,,,,,,,,,,,,,Best,Average,Worst,Best,Average,Worst
2,I,minDepth,Number of nodes,N,N,N,log(N),log(N),N,Visits every node once,6,94,2,12,42.73,77.58,52.21,33.37,33.37,43.35,57.51,18.02,36.70,5.76,4,4,4,2,2,4
2,II,,,N,N,N,1,sqrt(N),N,"Space used by duque is max width of binary tree, which is known to be of the order sqrt(N)",7,97,2,12,89.53,78.8,93.23,95.32,89.4,89.4,87.19,7.49,91.37,3.42,4,4,4,1,3,4
2,III,,,N,N,N,1,sqrt(N),N,Same as II,7,97,2,12,77.9,94.95,97.78,89.4,89.4,95.32,90.21,10.75,91.37,3.42,4,4,4,1,3,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,I,middleNode,Number of nodes,N,N,N,1,1,1,,3,34,2,6,75.44,84.48,84.48,97.18,78.43,51.4,81.47,5.22,75.67,23.01,4,4,4,1,1,1
4,II,,,N,N,N,1,1,1,,3,47,2,11,32.66,24.74,94.45,54.31,78.43,78.43,50.62,38.17,70.39,13.93,4,4,4,1,1,1
4,III,,,N,N,N,1,1,1,Same as I,3,34,2,6,30.44,94.45,61.61,80.48,96.42,25.9,62.17,32.01,67.60,36.98,4,4,4,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,I,longestPalindrome,String length,N,N,N,1,1,1,Dominating factor is iteration through string. `char_count` has max 52 keys so it is counted as constant space.,4,70,,13,74.41,73.31,99.12,65.68,34.8,62.53,82.28,14.59,54.34,16.99,4,4,4,1,1,1
6,II,,,N,N,N,1,1,1,,5,93,2,17,89.5,6.3,15.11,90.9,62.53,62.53,36.97,45.71,71.99,16.38,4,4,4,1,1,1
6,III,,,N,N,N,1,1,1,,5,97,2,17,74.41,41.73,41.73,65.68,88.14,34.8,52.62,18.87,62.87,26.78,4,4,4,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,I,largestPerimeter,Length of nums list,N,N*log(N),N*log(N),N,N,N,`.sort()` uses TimSort which is O(N) in the best case and O(N*log(N)) in the average and worst case. Its space complexity is O(N).,3,67,2,7,42.23,21.58,29,70.53,90.2,70.53,30.94,10.46,77.09,11.36,4,5,5,4,4,4
7,II,,,N,N*log(N),N*log(N),N,N,N,Same as I (only different syntax),3,57,2,7,42.23,34.57,21.81,90.2,70.53,23.67,32.87,10.32,61.47,34.18,4,5,5,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,I,ping,len(requests),N,N,N,1,1,N,"`append()` -> O(N), ‘pop()` -> O(N). While loop runs at most 3000 times since each value of t is unique, so it is considered a constant factor,",3,46,2,5,49.9,23.64,21.21,87.27,36.97,96.97,31.58,15.91,73.74,32.21,4,4,4,1,1,4
8,II,,,1,1,N,1,1,N,"popleft() -> O(1). Append takes O(1) amortised but O(N) in the worst case, affecting both time and space.",2,41,2,5,66.67,96.36,69.7,20,36.97,7.27,77.58,16.34,21.41,14.90,1,1,4,1,1,4
8,III,,,1,1,1,1,1,1,"Constant list introduced, no resizing",2,71,2,8,38.79,18.79,21.21,7.27,20,64.85,26.26,10.92,30.71,30.25,1,1,1,1,1,1
8,IV,,,1,1,N,1,1,N,Similar reasoning as II,2,41,2,5,83.64,66.67,60,7.27,36.97,20,70.10,12.19,21.41,14.90,1,1,4,1,1,4
8,V,,,1,1,N,1,1,N,Similar reasoning as II,2,45,2,5,60,60,17.58,36.97,20,36.97,45.86,24.49,31.31,9.80,1,1,4,1,1,4
