Index,Problem Level,Problem Number,Initial Attempt Code,Error output,2nd attempt code,Error output,3rd attempt code,Error output,4th attempt code,Error output,5th attempt code,Error output,6th attempt code,Error output,"Runtime, memory",1st improvement code,"Runtime, memory",2nd improvement code,"Runtime, memory",3rd improvement code,"Runtime, memory",4th improvement code,"Runtime, memory",5th improvement code,"Runtime, memory",Error output
1,Easy,1652,"class Solution(object):
    def decrypt(self, code, k):
        n = len(code)
        decrypted = [0] * n
        
        if k > 0:
            for i in range(n):
                for j in range(1, k+1):
                    decrypted[i] += code[(i+j)%n]
        elif k < 0:
            for i in range(n):
                for j in range(1, -k+1):
                    decrypted[i] += code[(i-j+n)%n]
        
        return decrypted
",,,,,,,,,,,,"31.91, 31.91","class Solution(object):
    def decrypt(self, code, k):
        n = len(code)
        decrypted = [0] * n
        
        if k != 0:
            window_sum = sum(code[1:k+1] if k > 0 else code[k:n] + code[:k])
            for i in range(n):
                decrypted[i] = window_sum
                window_sum -= code[(i+1)%n] if k > 0 else code[(i+k)%n]
                window_sum += code[(i+k+1)%n]
        
        return decrypted
",,,,,,,,,,"Wrong Answer

43 / 74 testcases passed
Input
code =
[2,4,9,3]
k =
-2
Use Testcase

Output
[18,12,11,13]
Expected
[12,5,6,13]
"
2,Easy,111,"class TreeNode(object):
    def __init__(self, val=0, left=None, right=None):
        self.val = val
        self.left = left
        self.right = right

class Solution(object):
    def minDepth(self, root):
        if root is None:
            return 0

        # If the current node is a leaf node, return 1
        if root.left is None and root.right is None:
            return 1

        # If the left subtree is empty, recur for the right subtree
        if root.left is None:
            return self.minDepth(root.right) + 1

        # If the right subtree is empty, recur for the left subtree
        if root.right is None:
            return self.minDepth(root.left) + 1

        # If both subtrees are present, take the minimum depth
        left_depth = self.minDepth(root.left)
        right_depth = self.minDepth(root.right)
        return min(left_depth, right_depth) + 1
",,,,,,,,,,,,"42.73, 33.37","from collections import deque

class TreeNode(object):
    def __init__(self, val=0, left=None, right=None):
        self.val = val
        self.left = left
        self.right = right

class Solution(object):
    def minDepth(self, root):
        if root is None:
            return 0

        # Create a queue for BFS
        queue = deque([(root, 1)])

        while queue:
            node, depth = queue.popleft()

            # Check if the current node is a leaf node
            if node.left is None and node.right is None:
                return depth

            # Add the left and right children to the queue
            if node.left is not None:
                queue.append((node.left, depth + 1))
            if node.right is not None:
                queue.append((node.right, depth + 1))
","89.53, 95.32","from collections import deque

class TreeNode(object):
    def __init__(self, val=0, left=None, right=None):
        self.val = val
        self.left = left
        self.right = right

class Solution(object):
    def minDepth(self, root):
        if root is None:
            return 0

        queue = deque([(root, 1)])

        while queue:
            node, depth = queue.popleft()

            # Check if the current node is a leaf node
            if node.left is None and node.right is None:
                return depth

            # Add the left and right children to the queue
            if node.left is not None:
                queue.append((node.left, depth + 1))
            
            if node.right is not None:
                queue.append((node.right, depth + 1))
","77.9, 89.4","class TreeNode(object):
    def __init__(self, val=0, left=None, right=None):
        self.val = val
        self.left = left
        self.right = right

class Solution(object):
    def minDepth(self, root):
        if root is None:
            return 0

        # Initialize the minimum depth as infinity
        min_depth = float('inf')

        def dfs(node, depth):
            nonlocal min_depth

            # If the current node is a leaf node, update the minimum depth
            if node.left is None and node.right is None:
                min_depth = min(min_depth, depth)
                return

            # Recur for the left and right subtrees if they exist
            if node.left is not None:
                dfs(node.left, depth + 1)
            if node.right is not None:
                dfs(node.right, depth + 1)

        # Start the depth-first search from the root node
        dfs(root, 1)

        return min_depth
",,,,,,"Runtime Error
0 / 52 testcases passed
SyntaxError: invalid syntax
                     ^
    nonlocal min_depth
Line 16  (Solution.py)
Last Executed Input
Use Testcase


root =
[3,9,20,null,null,15,7]

"
3,Easy,1491,"class Solution(object):
    def average(self, salary):
        # Exclude the minimum and maximum salary
        salary.sort()
        n = len(salary)
        total = sum(salary[1:n-1])
        # Calculate the average
        average = total / (n-2)
        return average
","Wrong Answer

20 / 43 testcases passed
Input
salary =
[48000,59000,99000,13000,78000,45000,31000,17000,39000,37000,93000,77000,33000,28000,4000,54000,67000,6000,1000,11000]
Use Testcase

Output
41111.00000
Expected
41111.11111


","class Solution(object):
    def average(self, salary):
        # Exclude the minimum and maximum salary
        min_salary = min(salary)
        max_salary = max(salary)
        total = sum(salary) - min_salary - max_salary
        # Calculate the average
        average = total / (len(salary) - 2)
        return average
","Wrong Answer

20 / 43 testcases passed
Input
salary =
[48000,59000,99000,13000,78000,45000,31000,17000,39000,37000,93000,77000,33000,28000,4000,54000,67000,6000,1000,11000]
Use Testcase

Output
41111.00000
Expected
41111.11111


","class Solution(object):
    def average(self, salary):
        # Exclude the minimum and maximum salary
        sorted_salary = sorted(salary)
        total = sum(sorted_salary[1:-1])
        # Calculate the average
        average = total / (len(salary) - 2)
        return average
","Wrong Answer

20 / 43 testcases passed
Input
salary =
[48000,59000,99000,13000,78000,45000,31000,17000,39000,37000,93000,77000,33000,28000,4000,54000,67000,6000,1000,11000]
Use Testcase

Output
41111.00000
Expected
41111.11111


","class Solution(object):
    def average(self, salary):
        min_salary = float('inf')
        max_salary = float('-inf')
        total = 0

        for s in salary:
            total += s
            min_salary = min(min_salary, s)
            max_salary = max(max_salary, s)

        average = (total - min_salary - max_salary) / (len(salary) - 2)
        return average
","Wrong Answer

20 / 43 testcases passed
Input
salary =
[48000,59000,99000,13000,78000,45000,31000,17000,39000,37000,93000,77000,33000,28000,4000,54000,67000,6000,1000,11000]
Use Testcase

Output
41111.00000
Expected
41111.11111


","class Solution(object):
    def average(self, salary):
        min_salary = min(salary)
        max_salary = max(salary)
        total = sum(salary) - min_salary - max_salary
        count = len(salary) - 2
        average = total / count
        return average
","Wrong Answer

20 / 43 testcases passed
Input
salary =
[48000,59000,99000,13000,78000,45000,31000,17000,39000,37000,93000,77000,33000,28000,4000,54000,67000,6000,1000,11000]
Use Testcase

Output
41111.00000
Expected
41111.11111


","class Solution(object):
    def average(self, salary):
        sorted_salary = sorted(salary)
        total = sum(sorted_salary[1:-1])
        count = len(sorted_salary) - 2
        average = total / count
        return average
","Wrong Answer

20 / 43 testcases passed
Input
salary =
[48000,59000,99000,13000,78000,45000,31000,17000,39000,37000,93000,77000,33000,28000,4000,54000,67000,6000,1000,11000]
Use Testcase

Output
41111.00000
Expected
41111.11111


",,,,,,,,,,,,
4,Easy,876,"# Definition for singly-linked list.
# class ListNode(object):
#     def __init__(self, val=0, next=None):
#         self.val = val
#         self.next = next

class Solution(object):
    def middleNode(self, head):
        """"""
        :type head: ListNode
        :rtype: ListNode
        """"""
        slow = fast = head

        while fast and fast.next:
            slow = slow.next
            fast = fast.next.next

        return slow
",,,,,,,,,,,,"75.44, 97.18","# Definition for singly-linked list.
# class ListNode(object):
#     def __init__(self, val=0, next=None):
#         self.val = val
#         self.next = next

class Solution(object):
    def middleNode(self, head):
        """"""
        :type head: ListNode
        :rtype: ListNode
        """"""
        length = 0
        curr = head

        while curr:
            length += 1
            curr = curr.next

        middle = length // 2
        curr = head

        for _ in range(middle):
            curr = curr.next

        return curr
","32.66, 54.31","# Definition for singly-linked list.
# class ListNode(object):
#     def __init__(self, val=0, next=None):
#         self.val = val
#         self.next = next

class Solution(object):
    def middleNode(self, head):
        """"""
        :type head: ListNode
        :rtype: ListNode
        """"""
        slow = fast = head

        while fast and fast.next:
            slow = slow.next
            fast = fast.next.next

        return slow
","30.44, 80.48",X,,,,,,
5,Easy,1979,"class Solution(object):
    def findGCD(self, nums):
        """"""
        :type nums: List[int]
        :rtype: int
        """"""
        # Find the smallest and largest numbers in the array
        smallest = min(nums)
        largest = max(nums)
        
        # Compute the greatest common divisor using Euclidean algorithm
        def gcd(a, b):
            while b:
                a, b = b, a % b
            return a
        
        # Return the greatest common divisor of the smallest and largest numbers
        return gcd(smallest, largest)
",,,,,,,,,,,,"39.43, 78.29","import math

class Solution(object):
    def findGCD(self, nums):
        """"""
        :type nums: List[int]
        :rtype: int
        """"""
        # Find the smallest and largest numbers in the array
        smallest = min(nums)
        largest = max(nums)
        
        # Return the greatest common divisor of the smallest and largest numbers
        return math.gcd(smallest, largest)
",,,,,,,,,,"Runtime Error

AttributeError: 'module' object has no attribute 'gcd'
    return math.gcd(smallest, largest)
Line 14 in findGCD (Solution.py)
    ret = Solution().findGCD(param_1)
Line 34 in _driver (Solution.py)
    _driver()
Line 44 in <module> (Solution.py)

Last Executed Input

[2,5,6,9,10]


"
6,Easy,409,"class Solution(object):
    def longestPalindrome(self, s):
        char_count = {}
        for char in s:
            char_count[char] = char_count.get(char, 0) + 1

        longest_length = 0
        odd_count = 0
        for count in char_count.values():
            if count % 2 == 0:
                longest_length += count
            else:
                longest_length += count - 1
                odd_count = 1

        return longest_length + odd_count
",,,,,,,,,,,,"74.41, 65.68","class Solution(object):
    def longestPalindrome(self, s):
        char_count = [0] * 52
        for char in s:
            if 'a' <= char <= 'z':
                index = ord(char) - ord('a')
            else:
                index = ord(char) - ord('A') + 26
            char_count[index] += 1

        longest_length = 0
        odd_count = 0
        for count in char_count:
            if count % 2 == 0:
                longest_length += count
            else:
                longest_length += count - 1
                odd_count = 1

        return longest_length + odd_count
","89.5, 90.9","class Solution(object):
    def longestPalindrome(self, s):
        char_count = [0] * 52
        odd_count = 0

        for char in s:
            if 'a' <= char <= 'z':
                index = ord(char) - ord('a')
            else:
                index = ord(char) - ord('A') + 26
            char_count[index] += 1

            if char_count[index] % 2 == 0:
                odd_count -= 1
            else:
                odd_count += 1

        longest_length = len(s) - odd_count
        if odd_count > 0:
            longest_length += 1

        return longest_length
","74.41, 65.68","from collections import Counter

class Solution(object):
    def longestPalindrome(self, s):
        char_count = Counter(s)
        odd_count = set()

        for count in char_count.values():
            if count % 2 != 0:
                odd_count.add(count)

        longest_length = len(s) - len(odd_count)
        if len(odd_count) > 0:
            longest_length += 1

        return longest_length
",,,,,,"Wrong Answer

37 / 95 testcases passed
Input
s =
""abccccdd""
Use Testcase

Output
8
Expected
7


"
7,Easy,976,"class Solution(object):
    def largestPerimeter(self, nums):
        nums.sort(reverse=True)  # Sort the side lengths in descending order
        
        for i in range(len(nums) - 2):
            a, b, c = nums[i], nums[i+1], nums[i+2]
            if a < b + c:  # Check if the side lengths can form a triangle
                return a + b + c
        
        return 0  # Return 0 if no triangle with non-zero area can be formed
",,,,,,,,,,,,"42.23, 70.53","class Solution(object):
    def largestPerimeter(self, nums):
        nums.sort(reverse=True)  # Sort the side lengths in descending order
        
        for i in range(len(nums) - 2):
            a, b, c = nums[i:i+3]  # Use slicing to avoid creating separate variables
            if a < b + c:  # Check if the side lengths can form a triangle
                return a + b + c
        
        return 0  # Return 0 if no triangle with non-zero area can be formed
","42.23, 90.2","class Solution(object):
    def largestPerimeter(self, nums):
        max_perimeter = 0
        n = len(nums)
        
        for i in range(n - 2):
            a = nums[i]
            b = nums[i + 1]
            c = nums[i + 2]
            
            if a < b + c:
                perimeter = a + b + c
                max_perimeter = max(max_perimeter, perimeter)
        
        return max_perimeter
",,,,,,,,"Wrong Answer

1 / 84 testcases passed
Input
nums =
[1,2,1,10]
Use Testcase

Output
13
Expected
0


"
8,Easy,933,"class RecentCounter(object):

    def __init__(self):
        self.requests = []

    def ping(self, t):
        self.requests.append(t)  # Add the new request to the list

        # Remove the requests that fall outside the time range [-2999, t]
        while self.requests and self.requests[0] < t - 3000:
            self.requests.pop(0)

        return len(self.requests)
",,,,,,,,,,,,"49.9, 87.27","from collections import deque

class RecentCounter(object):

    def __init__(self):
        self.requests = deque()

    def ping(self, t):
        self.requests.append(t)  # Add the new request to the deque

        # Remove the requests that fall outside the time range [-2999, t]
        while self.requests[0] < t - 3000:
            self.requests.popleft()

        return len(self.requests)

","66.67, 20","class RecentCounter(object):

    def __init__(self):
        self.requests = [0] * 10000  # Initialize a circular buffer of size 10000
        self.start = 0
        self.end = 0
        self.size = 0

    def ping(self, t):
        self.requests[self.end] = t  # Add the new request to the circular buffer
        self.end = (self.end + 1) % 10000  # Increment the end pointer
        self.size += 1

        # Remove the requests that fall outside the time range [-2999, t]
        while self.requests[self.start] < t - 3000:
            self.start = (self.start + 1) % 10000  # Increment the start pointer
            self.size -= 1

        return self.size
","38.79, 7.27","from collections import deque

class RecentCounter(object):

    def __init__(self):
        self.requests = deque()

    def ping(self, t):
        self.requests.append(t)  # Add the new request to the deque

        # Remove the requests that fall outside the time range [-2999, t]
        while self.requests[0] < t - 3000:
            self.requests.popleft()

        return len(self.requests)

","83.64, 7.27","class RecentCounter(object):

    def __init__(self):
        self.requests = []
        self.start = 0

    def ping(self, t):
        self.requests.append(t)  # Add the new request to the list

        # Move the start pointer until it points to the first valid request
        while self.requests[self.start] < t - 3000:
            self.start += 1

        return len(self.requests) - self.start

","60, 36.97","class RecentCounter(object):

    def __init__(self):
        self.requests = []
        self.window_start = 0

    def ping(self, t):
        self.requests.append(t)  # Add the new request to the list

        # Remove the requests that fall outside the time range [-2999, t]
        while self.requests[self.window_start] < t - 3000:
            self.window_start += 1

        return len(self.requests) - self.window_start

","20, 20",
9,Easy,389,"class Solution(object):
    def findTheDifference(self, s, t):
        """"""
        :type s: str
        :type t: str
        :rtype: str
        """"""
        s_dict = {}
        t_dict = {}
        
        # Count the frequency of each character in string s
        for char in s:
            s_dict[char] = s_dict.get(char, 0) + 1
        
        # Count the frequency of each character in string t
        for char in t:
            t_dict[char] = t_dict.get(char, 0) + 1
        
        # Compare the frequencies of characters in s and t
        for char in t_dict:
            if char not in s_dict or t_dict[char] > s_dict[char]:
                return char
",,,,,,,,,,,,"88.23, 71.1","class Solution(object):
    def findTheDifference(self, s, t):
        """"""
        :type s: str
        :type t: str
        :rtype: str
        """"""
        xor_value = 0
        
        # XOR all the characters in string s and t
        for char in s + t:
            xor_value ^= ord(char)
        
        # The remaining XOR value will be the ASCII value of the added letter
        return chr(xor_value)
","88.23, 71.1","class Solution(object):
    def findTheDifference(self, s, t):
        """"""
        :type s: str
        :type t: str
        :rtype: str
        """"""
        difference = 0
        
        # Calculate the ASCII value difference between characters in s and t
        for char in s + t:
            difference += ord(char)
        
        # The remaining difference will be the ASCII value of the added letter
        return chr(difference)
",,,,,,,,"Runtime Error
0 / 54 testcases passed
ValueError: chr() arg not in range(256)
    return chr(difference)
Line 15 in findTheDifference (Solution.py)
    ret = Solution().findTheDifference(param_1, param_2)
Line 40 in _driver (Solution.py)
    _driver()
Line 50 in <module> (Solution.py)
Last Executed Input
Use Testcase

s =
""abcd""

t =
""abcde""

"
10,Easy,387,"class Solution(object):
    def firstUniqChar(self, s):
        """"""
        :type s: str
        :rtype: int
        """"""
        # Create a dictionary to store the count of each character in the string
        char_count = {}
        
        # Iterate through the string to count the occurrences of each character
        for char in s:
            char_count[char] = char_count.get(char, 0) + 1
        
        # Iterate through the string again to find the first non-repeating character
        for i in range(len(s)):
            if char_count[s[i]] == 1:
                return i
        
        # If no non-repeating character is found, return -1
        return -1
",,,,,,,,,,,,"56.41, 32.40","from collections import OrderedDict

class Solution(object):
    def firstUniqChar(self, s):
        """"""
        :type s: str
        :rtype: int
        """"""
        char_count = OrderedDict()  # Ordered dictionary to maintain the order of insertion
        
        # Iterate through the string
        for char in s:
            char_count[char] = char_count.get(char, 0) + 1
        
        # Iterate through the ordered dictionary to find the first non-repeating character
        for char, count in char_count.items():
            if count == 1:
                return s.index(char)
        
        # If no non-repeating character is found, return -1
        return -1
","27.32, 86.53","class Solution(object):
    def firstUniqChar(self, s):
        """"""
        :type s: str
        :rtype: int
        """"""
        char_count = [0] * 26  # List to store the count of each character (assuming lowercase English letters)
        
        # Iterate through the string to count the occurrences of each character
        for char in s:
            char_count[ord(char) - ord('a')] += 1
        
        # Iterate through the string again to find the first non-repeating character
        for i in range(len(s)):
            if char_count[ord(s[i]) - ord('a')] == 1:
                return i
        
        # If no non-repeating character is found, return -1
        return -1
","55.76, 18.2",X,,,,,,
