Problem,Part,time_best,time_avg,time_worst,space_best,space_avg,space_worst
2,1,4,4,4,2,2,4
2,2,4,4,4,1,3,4
2,3,4,4,4,1,3,4
4,1,4,4,4,1,1,1
4,2,4,4,4,1,1,1
4,3,4,4,4,1,1,1
6,1,4,4,4,1,1,1
6,2,4,4,4,1,1,1
6,3,4,4,4,1,1,1
7,1,4,5,5,4,4,4
7,2,4,5,5,4,4,4
8,1,4,4,4,1,1,4
8,2,1,1,4,1,1,4
8,3,1,1,1,1,1,1
8,4,1,1,4,1,1,4
8,5,1,1,4,1,1,4
8,6,1,1,4,1,1,4
9,1,4,4,4,1,1,1
9,2,4,4,4,4,4,4
10,1,4,4,4,1,1,1
10,2,4,4,4,1,1,1
10,3,4,4,4,1,1,1
11,1,4,4,4,2,2,4
11,2,4,6,6,1,4,4
11,3,4,4,4,1,1,1
11,4,4,6,6,1,4,4
11,5,4,4,4,2,2,4
11,6,4,4,4,1,1,1
12,1,1,2,2,1,1,1
12,2,1,2,2,1,1,1
12,3,1,2,2,1,2,2
12,4,1,2,2,1,1,1
13,1,4,4,4,1,1,1
13,2,4,4,4,1,4,4
13,3,4,4,4,1,4,4
13,4,4,4,4,1,1,1
13,5,4,4,4,1,4,4
13,6,4,4,4,1,4,4
15,1,4,4,4,1,1,1
15,2,4,4,4,1,1,1
15,3,4,4,4,1,1,1
17,1,4,4,4,4,4,4
17,2,4,4,4,4,4,4
17,3,4,4,4,4,4,4
17,4,4,4,4,4,4,4
17,5,6,6,6,6,6,6
17,6,6,6,6,6,6,6
18,1,4,4,4,1,1,1
18,2,4,4,4,1,1,1
18,3,4,4,4,1,1,1
18,4,4,6,6,1,1,1
20,1,1,1,1,1,1,1
20,2,1,1,1,1,1,1
21,1,4,7,7,4,4,4
21,2,4,7,7,4,4,4
21,3,4,7,7,4,4,4
21,4,4,7,7,4,4,4
21,5,4,7,7,4,4,4
21,6,4,7,7,4,4,4
22,1,4,6,6,1,4,4
22,2,4,5,5,4,4,4
22,3,4,6,6,1,4,4
22,4,4,5,5,4,4,4
22,5,4,5,5,4,4,4
26,1,7,7,7,4,4,4
26,2,7,7,7,4,4,4
26,3,7,7,7,9,9,9
26,4,7,7,7,4,4,4
26,5,7,7,7,4,4,4
26,6,7,7,7,4,4,4
28,1,6,6,6,1,1,1
28,2,6,6,6,1,1,1
28,3,6,6,6,1,1,1
29,1,1,4,4,1,4,4
29,2,1,4,4,1,4,4
30,1,4,4,4,1,4,4
30,2,4,4,4,1,4,4
32,1,4,4,4,1,1,1
32,2,4,4,4,1,1,1
34,1,4,4,4,1,1,1
34,2,4,4,4,1,1,1
36,1,4,6,6,1,4,4
36,2,4,6,6,1,4,4
36,3,4,6,6,1,4,4
37,1,4,6,6,4,4,4
37,2,4,4,4,4,4,4
37,3,4,5,5,4,4,4
37,4,4,6,6,4,4,4
37,5,4,4,4,4,4,4
39,1,6,6,6,4,4,4
39,2,6,6,6,4,4,4
40,1,5,6,6,4,4,4
40,2,5,6,6,4,4,4
42,1,4,4,4,4,4,4
42,2,3,3,4,4,4,4
42,3,4,4,4,1,1,1
43,1,6,6,6,6,6,6
43,2,4,4,4,4,4,4
45,1,4,4,4,1,1,1
45,2,4,4,4,1,1,1
45,3,4,4,4,1,1,1
46,1,4,4,4,4,4,4
46,2,4,4,4,4,4,4
53,1,4,6,6,4,6,6
53,2,4,6,6,4,6,6
53,3,4,6,6,4,6,6
53,4,4,6,6,4,6,6
59,1,4,6,6,4,6,6
59,2,4,6,6,4,6,6
59,3,4,6,6,4,6,6
59,4,4,6,6,4,6,6
59,5,4,6,6,4,6,6
59,6,4,6,6,4,6,6
